territory,price,price_point_id
FJI,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJGSkkiLCJwIjoiMTAyNzcifQ
FRA,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJGUkEiLCJwIjoiMTAzMDIifQ
FSM,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJGU00iLCJwIjoiMTAyNzcifQ
GAB,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHQUIiLCJwIjoiMTAyNzcifQ
GBR,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHQlIiLCJwIjoiMTAyNzcifQ
GEO,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHRU8iLCJwIjoiMTAzMjcifQ
GHA,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHSEEiLCJwIjoiMTAzMjcifQ
GMB,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHTUIiLCJwIjoiMTAyNzcifQ
GNB,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHTkIiLCJwIjoiMTAyNzcifQ
GRC,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHUkMiLCJwIjoiMTAzMDIifQ
GRD,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHUkQiLCJwIjoiMTAyNzcifQ
GTM,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHVE0iLCJwIjoiMTAyNzcifQ
GUY,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJHVVkiLCJwIjoiMTAyNzcifQ
HKG,288.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJIS0ciLCJwIjoiMTAxNzMifQ
HND,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJITkQiLCJwIjoiMTAyNzcifQ
HRV,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJIUlYiLCJwIjoiMTAzMDIifQ
HUN,17990,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJIVU4iLCJwIjoiMTAzMjYifQ
IDN,699000,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJJRE4iLCJwIjoiMTAzODYifQ
IND,3999.0,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJJTkQiLCJwIjoiMTAzNTgifQ
IRL,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJJUkwiLCJwIjoiMTAzMDIifQ
