territory,price,price_point_id
FIN,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJGSU4iLCJwIjoiMTAzMDIifQ
FJI,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJGSkkiLCJwIjoiMTAyNzcifQ
FRA,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJGUkEiLCJwIjoiMTAzMDIifQ
FSM,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJGU00iLCJwIjoiMTAyNzcifQ
GAB,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHQUIiLCJwIjoiMTAyNzcifQ
GBR,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHQlIiLCJwIjoiMTAyNzcifQ
GEO,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHRU8iLCJwIjoiMTAzMjcifQ
GHA,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHSEEiLCJwIjoiMTAzMjcifQ
GMB,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHTUIiLCJwIjoiMTAyNzcifQ
GNB,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHTkIiLCJwIjoiMTAyNzcifQ
GRC,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHUkMiLCJwIjoiMTAzMDIifQ
GRD,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHUkQiLCJwIjoiMTAyNzcifQ
GTM,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHVE0iLCJwIjoiMTAyNzcifQ
GUY,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJHVVkiLCJwIjoiMTAyNzcifQ
HKG,288.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJIS0ciLCJwIjoiMTAxNzMifQ
HND,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJITkQiLCJwIjoiMTAyNzcifQ
HRV,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJIUlYiLCJwIjoiMTAzMDIifQ
HUN,17990,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJIVU4iLCJwIjoiMTAzMjYifQ
IDN,699000,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJJRE4iLCJwIjoiMTAzODYifQ
