territory,price,price_point_id
FJI,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJGSkkiLCJwIjoiMTAwNzUifQ
FRA,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJGUkEiLCJwIjoiMTAwODgifQ
FSM,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJGU00iLCJwIjoiMTAwNzUifQ
GAB,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHQUIiLCJwIjoiMTAwNzUifQ
GBR,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHQlIiLCJwIjoiMTAwNzUifQ
GEO,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHRU8iLCJwIjoiMTAwODgifQ
GHA,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHSEEiLCJwIjoiMTAwODgifQ
GMB,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHTUIiLCJwIjoiMTAwNzUifQ
GNB,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHTkIiLCJwIjoiMTAwNzUifQ
GRC,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHUkMiLCJwIjoiMTAwODgifQ
GRD,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHUkQiLCJwIjoiMTAwNzUifQ
GTM,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHVE0iLCJwIjoiMTAwNzUifQ
GUY,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJHVVkiLCJwIjoiMTAwNzUifQ
HKG,48.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJIS0ciLCJwIjoiMTAwNDcifQ
HND,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJITkQiLCJwIjoiMTAwNzUifQ
HRV,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJIUlYiLCJwIjoiMTAwODgifQ
HUN,2490,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJIVU4iLCJwIjoiMTAwNzUifQ
IDN,99000,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJJRE4iLCJwIjoiMTAxMzUifQ
IND,599.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJJTkQiLCJwIjoiMTAxNjEifQ
IRL,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJJUkwiLCJwIjoiMTAwODgifQ
IRQ,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJJUlEiLCJwIjoiMTAwNzUifQ
ISL,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJJU0wiLCJwIjoiMTAwODgifQ
ISR,19.9,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJJU1IiLCJwIjoiMTAwNTgifQ
ITA,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJJVEEiLCJwIjoiMTAwODgifQ
JAM,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJKQU0iLCJwIjoiMTAwNzUifQ
JOR,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJKT1IiLCJwIjoiMTAwNzUifQ
JPN,1000,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJKUE4iLCJwIjoiMTAwOTYifQ
KAZ,3490.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJLQVoiLCJwIjoiMTAxODcifQ
KEN,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJLRU4iLCJwIjoiMTAwODgifQ
KGZ,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJLR1oiLCJwIjoiMTAwODgifQ
KHM,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJLSE0iLCJwIjoiMTAwODgifQ
