territory,price,price_point_id
FJI,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJGSkkiLCJwIjoiMTAwNDkifQ
FRA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJGUkEiLCJwIjoiMTAwNDkifQ
FSM,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJGU00iLCJwIjoiMTAwNDkifQ
GAB,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHQUIiLCJwIjoiMTAwNDkifQ
GBR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHQlIiLCJwIjoiMTAwNDkifQ
GEO,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHRU8iLCJwIjoiMTAwNjIifQ
GHA,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHSEEiLCJwIjoiMTAwNjIifQ
GMB,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHTUIiLCJwIjoiMTAwNDkifQ
GNB,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHTkIiLCJwIjoiMTAwNDkifQ
GRC,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHUkMiLCJwIjoiMTAwNDkifQ
GRD,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHUkQiLCJwIjoiMTAwNDkifQ
GTM,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHVE0iLCJwIjoiMTAwNDkifQ
GUY,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJHVVkiLCJwIjoiMTAwNDkifQ
HKG,32.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJIS0ciLCJwIjoiMTAwMzEifQ
HND,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJITkQiLCJwIjoiMTAwNDkifQ
HRV,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJIUlYiLCJwIjoiMTAwNDkifQ
HUN,1790,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJIVU4iLCJwIjoiMTAwNTMifQ
IDN,69000,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJJRE4iLCJwIjoiMTAxMDUifQ
IND,399.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJJTkQiLCJwIjoiMTAxMTgifQ
IRL,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJJUkwiLCJwIjoiMTAwNDkifQ
IRQ,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJJUlEiLCJwIjoiMTAwNDkifQ
ISL,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJJU0wiLCJwIjoiMTAwNjIifQ
ISR,14.9,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJJU1IiLCJwIjoiMTAwNDMifQ
ITA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJJVEEiLCJwIjoiMTAwNDkifQ
JAM,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJKQU0iLCJwIjoiMTAwNDkifQ
JOR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJKT1IiLCJwIjoiMTAwNDkifQ
JPN,600,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJKUE4iLCJwIjoiMTAwNTYifQ
KAZ,2490.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJLQVoiLCJwIjoiMTAxNTcifQ
KEN,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJLRU4iLCJwIjoiMTAwNjIifQ
KGZ,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJLR1oiLCJwIjoiMTAwNDkifQ
KHM,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJLSE0iLCJwIjoiMTAwNDkifQ
KNA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJLTkEiLCJwIjoiMTAwNDkifQ
KOR,6600,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJLT1IiLCJwIjoiMTAwNzEifQ
KWT,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJLV1QiLCJwIjoiMTAwNDkifQ
LAO,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMQU8iLCJwIjoiMTAwNDkifQ
LBN,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMQk4iLCJwIjoiMTAwNDkifQ
LBR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMQlIiLCJwIjoiMTAwNDkifQ
LBY,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMQlkiLCJwIjoiMTAwNDkifQ
LCA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMQ0EiLCJwIjoiMTAwNDkifQ
LKA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMS0EiLCJwIjoiMTAwNDkifQ
LTU,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMVFUiLCJwIjoiMTAwNDkifQ
LUX,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMVVgiLCJwIjoiMTAwNDkifQ
LVA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJMVkEiLCJwIjoiMTAwNDkifQ
MAC,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNQUMiLCJwIjoiMTAwNDkifQ
MAR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNQVIiLCJwIjoiMTAwNDkifQ
MDA,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNREEiLCJwIjoiMTAwNjIifQ
MDG,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNREciLCJwIjoiMTAwNDkifQ
MDV,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNRFYiLCJwIjoiMTAwNDkifQ
MEX,89.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNRVgiLCJwIjoiMTAwODUifQ
MKD,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNS0QiLCJwIjoiMTAwNDkifQ
MLI,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNTEkiLCJwIjoiMTAwNDkifQ
MLT,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNTFQiLCJwIjoiMTAwNDkifQ
MMR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNTVIiLCJwIjoiMTAwNDkifQ
MNE,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNTkUiLCJwIjoiMTAwNDkifQ
MNG,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNTkciLCJwIjoiMTAwNDkifQ
MOZ,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNT1oiLCJwIjoiMTAwNDkifQ
MRT,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNUlQiLCJwIjoiMTAwNDkifQ
MSR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNU1IiLCJwIjoiMTAwNDkifQ
MUS,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNVVMiLCJwIjoiMTAwNjIifQ
MWI,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNV0kiLCJwIjoiMTAwNDkifQ
MYS,19.9,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJNWVMiLCJwIjoiMTAwNzMifQ
NAM,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJOQU0iLCJwIjoiMTAwNDkifQ
NER,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJORVIiLCJwIjoiMTAwNDkifQ
NGA,6900.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJOR0EiLCJwIjoiMTAxNjQifQ
NIC,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJOSUMiLCJwIjoiMTAwNDkifQ
NLD,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJOTEQiLCJwIjoiMTAwNDkifQ
NOR,49.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJOT1IiLCJwIjoiMTAwNDcifQ
NPL,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJOUEwiLCJwIjoiMTAwNjIifQ
NRU,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJOUlUiLCJwIjoiMTAwNDkifQ
NZL,6.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJOWkwiLCJwIjoiMTAwODcifQ
OMN,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJPTU4iLCJwIjoiMTAwNDkifQ
PAK,1100.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQQUsiLCJwIjoiMTAxNTkifQ
PAN,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQQU4iLCJwIjoiMTAwNDkifQ
PER,17.9,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQRVIiLCJwIjoiMTAwNjkifQ
PHL,249.0,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQSEwiLCJwIjoiMTAwNzQifQ
PLW,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQTFciLCJwIjoiMTAwNDkifQ
PNG,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQTkciLCJwIjoiMTAwNDkifQ
POL,19.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJQT0wiLCJwIjoiMTAwNjAifQ
